OFFENSE_CODE,X,Y,Location,,DAY_OF_WEEK,DISTRICT,STREET,OCCURRED_ON_DATE,OFFENSE_DESCRIPTION
619,42.35779134,-71.13937053,"(42.35779134, -71.13937053)",,Sunday,D14,LINCOLN ST,9/2/18,LARCENY ALL OTHERS
1402,42.30682138,-71.06030035,"(42.30682138, -71.06030035)",,Tuesday,C11,HECLA ST,8/21/18,VANDALISM
3410,42.34658879,-71.07242943,"(42.34658879, -71.07242943)",,Monday,D4,CAZENOVE ST,9/3/18,TOWED MOTOR VEHICLE
3114,42.33418175,-71.07866441,"(42.33418175, -71.07866441)",,Monday,D4,NEWCOMB ST,9/3/18,INVESTIGATE PROPERTY
3114,42.27536542,-71.09036101,"(42.27536542, -71.09036101)",,Monday,B3,DELHI ST,9/3/18,INVESTIGATE PROPERTY
3820,42.29019621,-71.07159012,"(42.29019621, -71.07159012)",,Monday,C11,TALBOT AVE,9/3/18,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY
724,42.30607218,-71.0827326,"(42.30607218, -71.08273260)",,Monday,B2,NORMANDY ST,9/3/18,AUTO THEFT
3301,42.32701648,-71.10555088,"(42.32701648, -71.10555088)",,Monday,B2,LAWN ST,9/3/18,VERBAL DISPUTE
301,42.33152148,-71.07085307,"(42.33152148, -71.07085307)",,Monday,C6,MASSACHUSETTS AVE,9/3/18,ROBBERY - STREET
3301,42.29514664,-71.05860832,"(42.29514664, -71.05860832)",,Monday,C11,LESLIE ST,9/3/18,VERBAL DISPUTE
3301,42.31957856,-71.04032766,"(42.31957856, -71.04032766)",,Monday,C6,OCEAN VIEW DR,9/3/18,VERBAL DISPUTE
3114,42.34011469,-71.05339029,"(42.34011469, -71.05339029)",,Monday,C6,DALESSIO CT,9/3/18,INVESTIGATE PROPERTY
3108,42.3503876,-71.0878529,"(42.35038760, -71.08785290)",,Monday,D4,MARLBOROUGH ST,9/3/18,"FIRE REPORT - HOUSE, BUILDING, ETC."
2647,42.28647012,-71.08714661,"(42.28647012, -71.08714661)",,Monday,B3,WOODROW AVE,9/3/18,THREATS TO DO BODILY HARM
3201,42.27924052,-71.09667382,"(42.27924052, -71.09667382)",,Sunday,B3,MULVEY ST,9/2/18,PROPERTY - LOST
3006,42.35287456,-71.0738297,"(42.35287456, -71.07382970)",,Monday,,,9/3/18,SICK/INJURED/MEDICAL - PERSON
3301,42.30526428,-71.06683755,"(42.30526428, -71.06683755)",,Monday,C11,STONEHURST ST,9/3/18,VERBAL DISPUTE
3305,42.34857652,-71.07772012,"(42.34857652, -71.07772012)",,Monday,D4,HUNTINGTON AVE,9/3/18,DEMONSTRATIONS/RIOT
2647,42.33371742,-71.09665806,"(42.33371742, -71.09665806)",,Monday,B2,HORADAN WAY,9/3/18,THREATS TO DO BODILY HARM
614,42.3256949,-71.06816778,"(42.32569490, -71.06816778)",,Sunday,B2,SHIRLEY ST,9/2/18,LARCENY THEFT FROM MV - NON-ACCESSORY
3801,42.35564426,-71.07168077,"(42.35564426, -71.07168077)",,Monday,A1,BEACON ST,9/3/18,M/V ACCIDENT - OTHER
3006,42.28340243,-71.0807974,"(42.28340243, -71.08079740)",,Monday,B3,CAPEN ST,9/3/18,SICK/INJURED/MEDICAL - PERSON
